,produto,preco-antigo,preco-atual,link
10,Disco Sólido Interno Kingston Sa400s37/240g 240gb,,R$ 246,https://produto.mercadolivre.com.br/MLB-1940799519-disco-solido-interno-kingston-sa400s37240g-240gb-_JM?hide_psmb=true#reco_item_pos=10&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=BUY_BOX_WINNER
11,Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown,R$ 62,R$ 5732,https://produto.mercadolivre.com.br/MLB-1796946223-kit-200-mascara-caixa-descartavel-tripla-c-filtro-meltblown-_JM?variation=76248617636&hide_psmb=true#reco_item_pos=11&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
12,Lava-louças Detergente Finish Powerball All In One Max,R$ 18,R$ 1070,https://produto.mercadolivre.com.br/MLB-1540380581-lava-loucas-detergente-finish-powerball-all-in-one-max-_JM?hide_psmb=true#reco_item_pos=12&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
13,"Tapete 2,00 X 1,50 Peludo Felpudo 40mm Sala  Luxo",R$ 119,R$ 10191,https://produto.mercadolivre.com.br/MLB-1171991717-tapete-200-x-150-peludo-felpudo-40mm-sala-luxo-_JM?variation=77469461537&hide_psmb=true#reco_item_pos=13&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
14,Cadeira De Escritório Trevalla Tl-cde-26-1  Preta Com Estofado Do Mesh,R$ 399,R$ 259,https://produto.mercadolivre.com.br/MLB-1639830855-cadeira-de-escritorio-trevalla-tl-cde-26-1-preta-com-estofado-do-mesh-_JM?hide_psmb=true#reco_item_pos=14&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
15,Smartphone Motorola Moto G 5g Tl 6.7 128gb 6gb Ram Pt Prisma,R$ 1.999,R$ 1.899,https://produto.mercadolivre.com.br/MLB-1774672266-smartphone-motorola-moto-g-5g-tl-67-128gb-6gb-ram-pt-prisma-_JM?variation=73856599301&hide_psmb=true#reco_item_pos=15&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
16,Cerveja Patagonia Amber Lager Lata 473ml,R$ 7,R$ 399,https://produto.mercadolivre.com.br/MLB-1881349290-cerveja-patagonia-amber-lager-lata-473ml-_JM?hide_psmb=true#reco_item_pos=16&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
17,Fraldas Pampers Premium Care M 80 U,R$ 89,R$ 6990,https://produto.mercadolivre.com.br/MLB-1807880310-fraldas-pampers-premium-care-m-80-u-_JM?hide_psmb=true#reco_item_pos=17&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=BUY_BOX_WINNER
18,Lavadora De Alta Pressão Kärcher K2 Portable Black De 1200w Com 1600psi De Pressão Máxima 127v,R$ 459,R$ 42310,https://produto.mercadolivre.com.br/MLB-1891035355-lavadora-de-alta-presso-krcher-k2-portable-black-de-1200w-com-1600psi-de-presso-maxima-127v-_JM?hide_psmb=true#reco_item_pos=18&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
19,Lousa Quadro Branco Mold Aluminio 80x60 Apagador  5 Marcador,R$ 78,R$ 6316,https://produto.mercadolivre.com.br/MLB-1499528110-lousa-quadro-branco-mold-aluminio-80x60-apagador-5-marcador-_JM?hide_psmb=true#reco_item_pos=19&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=LIGHTNING_DEAL
20,Kit Cuecas Box Boxer 10 Peças Original Atacado Revenda,R$ 99,R$ 8991,https://produto.mercadolivre.com.br/MLB-1021963665-kit-cuecas-box-boxer-10-pecas-original-atacado-revenda-_JM?hide_psmb=true#reco_item_pos=20&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
